Name,Description,Price,Image,Category
Citra IPA,Juicy IPA with citrus notes,7,citra.jpg,Beer
Brown Ale,Mild and malty,6,brown.jpg,Beer
Double Hazy,Strong NEIPA with haze and tropical flavor,8,hazy.jpg,Beer
Lager,Light-bodied and crisp,5,lager.jpg,Beer
Dry Cider,Crisp local apples,7,cider.jpg,Cider
Sweet Cider,Smooth and fruity,6,,Cider
Rosé Cider,Apple + berry blend,7,rose.jpg,Cider
Classic Margarita,"Fresh lime, tequila, and triple sec",9,margarita.jpg,Cocktails
Old Fashioned,"Bourbon, bitters, sugar cube",9,old-fashioned.jpg,Cocktails
Moscow Mule,"Vodka, lime, ginger beer",9,mule.jpg,Cocktails
Gin & Tonic,Simple and refreshing,8,gin-tonic.jpg,Cocktails
Cola,Fountain drink,2,,Non-Alcoholic
Sparkling Water,Local brand,2,sparkle.jpg,Non-Alcoholic
Lemonade,Fresh squeezed,3,lemonade.jpg,Non-Alcoholic
Root Beer,Old-fashioned draft style,3,rootbeer.jpg,Non-Alcoholic